seed,Vth,OffCurrent,OnCurrent,OnOffRatio,Weff
173,0.362129,6.67306e-12,3.41295e-05,5.11453e+06,52
174,0.367681,4.73221e-12,3.38275e-05,7.14834e+06,52
175,0.370163,4.40833e-12,3.39851e-05,7.70929e+06,52
176,0.360962,6.96886e-12,3.42089e-05,4.90882e+06,52
177,0.368942,5.53002e-12,3.41915e-05,6.18289e+06,52
178,0.355751,9.99389e-12,3.4288e-05,3.43090e+06,52
179,0.36231,5.77502e-12,3.4018e-05,5.89054e+06,52
180,0.373924,4.55955e-12,3.39327e-05,7.44211e+06,52
181,0.362139,5.73336e-12,3.39741e-05,5.92570e+06,52
182,0.370535,5.30292e-12,3.41102e-05,6.43233e+06,52
183,0.359256,6.17578e-12,3.40758e-05,5.51765e+06,52
184,0.365053,5.75214e-12,3.41167e-05,5.93113e+06,52
185,0.35373,8.86009e-12,3.43027e-05,3.87160e+06,52
186,0.374588,4.12683e-12,3.39786e-05,8.23358e+06,52
187,0.358135,6.62014e-12,3.39765e-05,5.13229e+06,52
188,0.371726,5.64691e-12,3.39914e-05,6.01947e+06,52
189,0.361426,6.95748e-12,3.39813e-05,4.88413e+06,52
190,0.37018,3.76614e-12,3.39336e-05,9.01019e+06,52
191,0.369191,5.01534e-12,3.40145e-05,6.78209e+06,52
192,0.369044,4.83578e-12,3.42284e-05,7.07815e+06,52
193,0.372256,4.64077e-12,3.39959e-05,7.32550e+06,52
194,0.358623,6.86593e-12,3.42328e-05,4.98590e+06,52
195,0.349053,9.28562e-12,3.41144e-05,3.67390e+06,52
196,0.359001,6.26435e-12,3.41304e-05,5.44834e+06,52
197,0.367223,5.34406e-12,3.41363e-05,6.38772e+06,52
198,0.354326,7.11607e-12,3.43336e-05,4.82479e+06,52
199,0.368331,4.80331e-12,3.39843e-05,7.07517e+06,52
1,0.361247,7.53861e-12,3.77668e-05,5.00978e+06,60
2,0.352537,1.03458e-11,3.7977e-05,3.67077e+06,60
3,0.357318,9.74255e-12,3.78732e-05,3.88740e+06,60
4,0.368995,6.32562e-12,3.76889e-05,5.95814e+06,60
5,0.358181,8.04293e-12,3.78585e-05,4.70705e+06,60
6,0.365989,7.63883e-12,3.76586e-05,4.92989e+06,60
7,0.358428,8.06729e-12,3.77253e-05,4.67632e+06,60
8,0.360315,8.84504e-12,3.78669e-05,4.28115e+06,60
9,0.355656,9.0397e-12,3.784e-05,4.18598e+06,60
10,0.355732,9.60437e-12,3.78526e-05,3.94119e+06,60
11,0.354888,9.28871e-12,3.76564e-05,4.05400e+06,60
12,0.360604,8.60738e-12,3.7747e-05,4.38542e+06,60
13,0.356056,8.49863e-12,3.77143e-05,4.43770e+06,60
14,0.360063,8.06394e-12,3.76377e-05,4.66741e+06,60
15,0.366058,6.87838e-12,3.76025e-05,5.46677e+06,60
16,0.362241,6.72448e-12,3.7638e-05,5.59717e+06,60
17,0.364269,7.18627e-12,3.77229e-05,5.24929e+06,60
18,0.370954,6.63401e-12,3.75745e-05,5.66392e+06,60
19,0.358207,8.36891e-12,3.79475e-05,4.53434e+06,60
20,0.358021,1.03574e-11,3.7843e-05,3.65373e+06,60
21,0.359605,8.85863e-12,3.78637e-05,4.27421e+06,60
22,0.359306,8.01425e-12,3.7683e-05,4.70200e+06,60
23,0.359258,8.3631e-12,3.77961e-05,4.51939e+06,60
24,0.355564,9.71481e-12,3.80428e-05,3.91596e+06,60
25,0.362951,8.20567e-12,3.78083e-05,4.60758e+06,60
26,0.360719,7.60477e-12,3.76993e-05,4.95733e+06,60
27,0.358551,8.81596e-12,3.76714e-05,4.27309e+06,60
28,0.352992,1.17434e-11,3.78569e-05,3.22367e+06,60
29,0.360744,8.1286e-12,3.77667e-05,4.64615e+06,60
30,0.364573,6.22655e-12,3.75794e-05,6.03536e+06,60
31,0.35935,8.43683e-12,3.76663e-05,4.46451e+06,60
32,0.357493,7.84077e-12,3.77778e-05,4.81812e+06,60
